mode,scope,ratio,price_cut,reserve_kwh,cover_ratio,look_ahead,need_gate,name,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,held_kwh,delta_vs_v002
hold_vs_remaining,day,0.75,0.0,0.0,0.0,0,True,hold_vs_day_r0.75_need,21403962.78217943,13188217.793049578,70883.83428831995,8144861.154841535,21503175.184331633,20461697.577398334,426413.863182869,1467891.4701161687,1841649.732785882,3567076.8446135037,8011.6285407563355,1200.0,10800.0,2666.2128203276543,2664.328027493168,4198144.943842603,3401063.973238555,1831915.7598575861,7882553.074727194
forecast_floor,day,1.0,0.0,0.0,1.0,0,False,forecast_floor_day_c1,24702530.360918112,13186498.326782957,68692.34982941303,11447339.684305742,21499140.73066951,20456087.044820033,425323.62589617673,1468377.311745651,2431391.674201215,4289248.647864236,8224.414838373723,1200.0,10800.0,2677.109671081951,2675.240581256994,3471591.7083775373,2812551.1321871877,2428064.9026087886,11181120.653465876
hold_below,block,1.0,1.2,0.0,0.0,0,False,hold_below_1.20,24791489.62780554,13168588.905098287,62866.77844858891,11560033.944258664,21457368.362627592,20410404.306966048,421482.4141588285,1468446.4698203763,2469259.986332668,4289289.815972647,8242.58501988164,1200.0,10800.0,2789.842742764277,2788.1548261213006,3429959.8426435757,2778774.8602841757,2460688.3185211676,11270079.920353303
forecast_floor,day,1.0,0.0,0.0,1.5,0,False,forecast_floor_day_c1.5,28399303.175227687,12880384.329566084,60001.12002318093,15458917.725638418,20783706.06809427,19734115.966668896,419093.8228290059,1468683.924254376,3077816.0105073256,4352850.459377147,8918.95385049716,2533.625596248619,10800.0,4635.1242903889415,4631.721246801042,2741657.777552284,2221765.754719873,3077547.165137731,14877893.467775451
hold_vs_remaining,block,1.0,0.0,0.0,0.0,0,True,hold_vs_block_r1_need,36724445.700984545,11962086.050860237,130225.31955922637,24632134.33056508,18613470.62987323,17674385.546960097,457223.6269226324,1396308.709835766,4454595.002383718,3911148.0407655574,10423.393908464555,3873.5235498117177,10800.0,10720.802811418293,10720.644584400106,1466792.5087013613,1188149.4950897694,4454259.764306246,23203035.993532307
hold_vs_remaining,block,1.0,0.0,0.0,0.0,0,False,hold_vs_block_r1,37523170.277446665,11958887.697478676,80044.36182634515,25484238.218141645,18605540.776787143,17626715.86496216,423369.31997024256,1402194.2317952253,4668047.057022253,4119524.2687229356,10486.079632744817,3873.5235498117177,10800.0,10743.925473477419,10743.767246459232,1242614.3228235613,1006565.1645287515,4667711.818944781,24001760.569994427
hold_vs_remaining,day,1.0,0.0,0.0,0.0,12,False,hold_ahead_12_r1,37536407.196682096,11956358.492368426,61483.31335581516,25518565.39095786,18599227.974055894,17602312.723871127,405551.5013359972,1402466.7515207638,4696860.229569865,4128492.883677483,10519.964412114852,3873.5235498117177,10800.0,10762.685755908567,10762.527528890381,1218621.778097432,987131.2033005867,4696524.9914923925,24014997.489229858
hold_vs_remaining,day,1.0,0.0,0.0,0.0,36,False,hold_ahead_36_r1,39540843.55086525,11956358.492368426,48560.28417251818,27535924.774324298,18599227.974055894,17542095.52868077,405551.5013359972,1462683.9467111195,5089191.509039857,4552595.955077791,10631.14774798349,8080.465939213036,10800.0,10762.685755908567,10762.527528890381,734469.2143044261,594967.6266282519,5088856.270962385,26019433.84341301
hold_vs_remaining,day,1.0,0.0,0.0,0.0,0,True,hold_vs_day_r1_need,41371262.58822116,11957425.731840324,48605.406019801725,29365231.45036103,18601919.233902916,17544849.107217506,405613.8200257058,1462683.9467111195,5414079.571653642,4956683.869279478,10741.932439322716,9511.116606500002,10800.0,10754.77449316012,10754.616266141933,332120.4087719397,269065.09414693783,5413810.726284047,27849852.880768925
hold_vs_remaining,day,1.0,0.0,0.0,0.0,0,False,hold_vs_day_r1,41394261.066236,11956358.492368426,48560.28417251818,29389342.289695054,18599227.974055894,17542095.52868077,405551.5013359972,1462683.9467111195,5420099.084504444,4961123.826021725,10744.73748400845,9511.116606500002,10800.0,10762.685755908567,10762.527528890381,325941.3433604918,264060.051163665,5419830.239134849,27872851.35878376
