name,target_mode,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,anchor,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_midnight_target,delta_vs_v002
hybrid_morning_c0.5_n24_ge,forecast,hybrid_morning,0.5,0.0,24,ge,h0_and_h18,13578079.388836173,13118351.350596886,398268.62151855393,61459.41672073114,21354808.778887108,21084567.14341238,691235.8051859783,961477.440660708,11134.780420627962,1945700.4762531817,7443.123497804648,1200.0,10800.0,6913.547979765399,6900.545477741364,6393265.814324131,5182453.861710972,5790.488152363329,56669.6813839376
hybrid_morning_c0.8_n12_soft,forecast,hybrid_morning,0.8,0.0,12,soft,h0_and_h18,13595795.839505486,13160901.477126935,373953.47178958077,60940.89058897145,21449240.837908197,21098614.309886225,672276.5686846351,1022903.0967066088,11057.69640440214,1961179.5869738383,7566.507851920204,1200.0,10800.0,8513.790768164292,8492.731866065094,6398069.633269159,5188766.708919038,7641.936919909071,74386.13205325045
hybrid_morning_c0.5_n12_ge,forecast,hybrid_morning,0.5,0.0,12,ge,h0_and_h18,13605340.09476358,13119825.715577826,425642.4125888701,59871.96659688446,21358584.350848507,21077107.89021252,705762.746664919,987239.2073009063,10894.869119795165,1942835.2642996288,7448.543915909203,1200.0,10800.0,6903.172427311556,6890.169846491448,6367824.083476553,5161846.083410533,5790.488152363329,83930.38731134497
hybrid_morning_c1.0_n12_soft,forecast,hybrid_morning,1.0,0.0,12,soft,h0_and_h18,13605647.513981016,13215042.490085384,330587.31969865627,60017.704196977335,21569600.081975624,21133377.651075035,612500.9748815529,1048723.405782141,10669.443143040431,1991257.6556377453,7633.998996150082,1200.0,10800.0,9094.16598850754,9068.72661834362,6427615.885710215,5214015.942096549,8529.619177982922,84237.80652878061
hybrid_morning_c0.8_n37_ge,forecast,hybrid_morning,0.8,0.0,37,ge,h0_and_h18,13607419.933624502,13148314.166155439,398147.7678931849,60957.99957588191,21415468.698727548,21142886.468343623,686374.0056127673,958956.235996694,11060.606724793495,2004875.6816706283,7592.558786849638,1200.0,10800.0,8604.94837683375,8583.889553530627,6401116.740610741,5191234.842179619,7641.936919909071,86010.22617226653
hybrid_morning_c0.8_n37_soft,forecast,hybrid_morning,0.8,0.0,37,soft,h0_and_h18,13607419.933624502,13148314.166155439,398147.7678931849,60957.99957588191,21415468.698727548,21142886.468343623,686374.0056127673,958956.235996694,11060.606724793495,2004875.6816706285,7592.558786849638,1200.0,10800.0,8604.94837683375,8583.889553530627,6401116.740610741,5191234.842179619,7641.936919909071,86010.22617226653
hybrid_morning_c0.8_n24_ge,forecast,hybrid_morning,0.8,0.0,24,ge,h0_and_h18,13607445.984033095,13148315.430915106,398172.3900104745,60958.16310751317,21415471.675418083,21142884.30963421,686395.898633596,958983.2644174703,11060.630166827792,2004876.8471676086,7592.556913977465,1200.0,10800.0,8604.940355811357,8583.881532508234,6401099.368166734,5191220.7704999745,7641.936919909071,86036.27658085898
hybrid_morning_c0.8_n24_soft,forecast,hybrid_morning,0.8,0.0,24,soft,h0_and_h18,13607445.984033095,13148315.430915106,398172.3900104745,60958.16310751317,21415471.675418083,21142884.30963421,686395.898633596,958983.2644174703,11060.630166827796,2004876.8471676086,7592.5568917407845,1200.0,10800.0,8604.940355811357,8583.881532508234,6401099.368166734,5191220.7704999745,7641.936919909071,86036.27658085898
hybrid_morning_c1.0_n37_soft,forecast,hybrid_morning,1.0,0.0,37,soft,h0_and_h18,13622835.983887777,13197006.236448538,365682.61701918714,60147.13042005146,21521370.2319197,21199219.600709066,632932.8222215289,955083.4534321595,10688.977046080148,2056416.4368296454,7671.793925737083,1200.0,10800.0,9224.848741926333,9199.409450558489,6431314.194442164,5217011.548483329,8529.619177982922,101426.27643554099
hybrid_morning_c1.0_n37_ge,forecast,hybrid_morning,1.0,0.0,37,ge,h0_and_h18,13622835.983887777,13197006.236448538,365682.61701918714,60147.13042005146,21521370.2319197,21199219.600709066,632932.8222215287,955083.4534321595,10688.977046080148,2056416.4368296454,7671.793925737083,1200.0,10800.0,9224.848741926333,9199.409450558489,6431314.194442164,5217011.548483329,8529.619177982922,101426.27643554099
hybrid_morning_c1.0_n24_soft,forecast,hybrid_morning,1.0,0.0,24,soft,h0_and_h18,13622860.976550896,13197006.440657504,365707.2419417114,60147.29395168272,21521370.71297733,21199214.946366753,632954.9668329132,955110.7334434914,10689.000488114449,2056415.1066937281,7671.792202345241,1200.0,10800.0,9224.847445663247,9199.4081542954,6431296.821998159,5216997.476803684,8529.619177982922,101451.26909865998
hybrid_morning_c1.0_n24_ge,forecast,hybrid_morning,1.0,0.0,24,ge,h0_and_h18,13622860.976550896,13197006.440657504,365707.2419417114,60147.29395168272,21521370.71297733,21199214.946366753,632954.9668329132,955110.7334434914,10689.000488114449,2056415.1066937281,7671.792180108562,1200.0,10800.0,9224.847445663247,9199.4081542954,6431296.821998159,5216997.476803684,8529.619177982922,101451.26909865998
hist_morning_c0.8_n12_ge,forecast,hist_morning,0.8,0.0,12,ge,h0_and_h18,13630492.844369415,13215199.803108014,356270.22709794063,59022.81416345967,21577760.341811895,21107307.23195772,565426.2486560987,1035879.3585102741,10751.222195601684,1977722.5286928443,7565.535033645731,1200.0,10800.0,8163.504997699398,8142.419596503857,6355182.642595746,5154036.2121019345,7639.322781470392,109083.13691717945
hist_expensive_c0.3_n12_soft,forecast,hist_expensive,0.3,0.0,12,soft,h0_and_h18,13632962.249074124,13316295.810062744,257602.72199807246,59063.71701331047,21809030.960890826,21209517.518862475,518075.42849712865,1117588.8705254816,10282.627849139442,2028156.015086722,7785.68956871472,1200.0,10800.0,9835.11370973489,9811.806140836403,6628741.536153212,5376286.899494987,9803.646753255987,111552.54162188806
hist_expensive_c0.3_n37_ge,forecast,hist_expensive,0.3,0.0,37,ge,h0_and_h18,13638218.865591606,13294974.613481455,282204.212535067,61040.03957508487,21752326.625311084,21296439.46785091,521041.56586062454,976928.7233207941,10578.619713031447,2110358.6155162887,7822.713020253943,1200.0,10800.0,9989.863080793439,9966.555590691025,6655137.94003039,5397667.962949404,9803.646753255987,116809.15813937038
hist_expensive_c0.3_n37_soft,forecast,hist_expensive,0.3,0.0,37,soft,h0_and_h18,13638218.865591606,13294974.613481455,282204.212535067,61040.03957508487,21752326.625311084,21296439.46785091,521041.56586062454,976928.7233207941,10578.619713031447,2110358.6155162887,7822.713020253943,1200.0,10800.0,9989.863080793439,9966.555590691025,6655137.94003039,5397667.962949404,9803.646753255987,116809.15813937038
hist_expensive_c0.3_n24_soft,forecast,hist_expensive,0.3,0.0,24,soft,h0_and_h18,13638243.651240526,13294974.613481455,282228.83465235657,61040.20310671613,21752326.625311084,21296434.332450964,521063.4588814534,976955.7517415703,10578.643155065745,2110356.8043227363,7822.711378315176,1200.0,10800.0,9989.863080793439,9966.555590691025,6655120.567586386,5397653.891269758,9803.646753255987,116833.94378829002
hist_expensive_c0.3_n24_ge,forecast,hist_expensive,0.3,0.0,24,ge,h0_and_h18,13638243.651240526,13294974.613481455,282228.83465235657,61040.20310671613,21752326.625311084,21296434.332450964,521063.4588814534,976955.7517415703,10578.643155065745,2110356.8043227363,7822.7112455500055,1200.0,10800.0,9989.863080793439,9966.555590691025,6655120.567586386,5397653.891269758,9803.646753255987,116833.94378829002
