name,family,tv0,tv6,tv12,tv18,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,delta_vs_v002
refine_0.437000,refine,0.437,0.437,0.437,0.437,13521573.412340429,13188515.901656084,270111.8206970634,62945.68998728275,21503867.694092624,21033486.700421516,501579.8356013644,971960.8292724688,11602.854539463442,1889014.2982815248,6924.258007793334,1200.0,10800.0,2664.3467760615213,2662.4619832270355,6407643.844414932,5190758.082702142,163.70488819293678
refine_0.443000,refine,0.443,0.443,0.443,0.443,13521573.412340429,13188515.901656084,270111.8206970634,62945.68998728275,21503867.694092624,21033486.700421516,501579.8356013644,971960.8292724688,11602.854539463442,1889014.2982815248,6924.258007793334,1200.0,10800.0,2664.3467760615213,2662.4619832270355,6407643.844414932,5190758.082702142,163.70488819293678
refine_0.435000,refine,0.435,0.435,0.435,0.435,13521573.412340429,13188515.901656084,270111.8206970634,62945.68998728275,21503867.694092624,21033486.700421516,501579.8356013644,971960.8292724688,11602.854539463442,1889014.2982815248,6924.258007793334,1200.0,10800.0,2664.3467760615213,2662.4619832270355,6407643.844414932,5190758.082702142,163.70488819293678
scalar_0.440000,scalar,0.44,0.44,0.44,0.44,13521573.412340429,13188515.901656084,270111.8206970634,62945.68998728275,21503867.694092624,21033486.700421516,501579.8356013644,971960.8292724688,11602.854539463442,1889014.2982815248,6924.258007793334,1200.0,10800.0,2664.3467760615213,2662.4619832270355,6407643.844414932,5190758.082702142,163.70488819293678
scalar_0.435749,scalar,0.435749,0.435749,0.435749,0.435749,13521573.412340429,13188515.901656084,270111.8206970634,62945.68998728275,21503867.694092624,21033486.700421516,501579.8356013644,971960.8292724688,11602.854539463442,1889014.2982815248,6924.258007793334,1200.0,10800.0,2664.3467760615213,2662.4619832270355,6407643.844414932,5190758.082702142,163.70488819293678
scalar_0.435000,scalar,0.435,0.435,0.435,0.435,13521573.412340429,13188515.901656084,270111.8206970634,62945.68998728275,21503867.694092624,21033486.700421516,501579.8356013644,971960.8292724688,11602.854539463442,1889014.2982815248,6924.258007793334,1200.0,10800.0,2664.3467760615213,2662.4619832270355,6407643.844414932,5190758.082702142,163.70488819293678
eve_early0.445_h18_0.395,split_h18,0.445,0.445,0.445,0.395,13521612.05676074,13189079.107119158,269587.25965430075,62945.68998728275,21505181.830402344,21033449.571809128,501579.8356013644,973312.0941945778,11602.854539463442,1889013.0442231544,6923.457839642102,1200.0,10800.0,2660.6957331223316,2658.8109402878454,6407455.030972743,5190605.14381397,202.3493085037917
scalar_0.430000,scalar,0.43,0.43,0.43,0.43,13521612.05676074,13189079.107119158,269587.25965430075,62945.68998728275,21505181.830402344,21033449.571809128,501579.8356013644,973312.0941945778,11602.854539463442,1889013.0442231544,6923.457839642102,1200.0,10800.0,2660.6957331223316,2658.8109402878454,6407455.030972743,5190605.14381397,202.3493085037917
refine_0.431000,refine,0.431,0.431,0.431,0.431,13521612.05676074,13189079.107119158,269587.25965430075,62945.68998728275,21505181.830402344,21033449.571809128,501579.8356013644,973312.0941945778,11602.854539463442,1889013.0442231544,6923.457839642102,1200.0,10800.0,2660.6957331223316,2658.8109402878454,6407455.030972743,5190605.14381397,202.3493085037917
split_da0.449_upd0.415,split_da_upd,0.448919,0.415,0.415,0.415,13521612.05676074,13189079.107119158,269587.25965430075,62945.68998728275,21505181.830402344,21033449.571809128,501579.8356013644,973312.0941945778,11602.854539463442,1889013.0442231544,6923.457839642102,1200.0,10800.0,2660.6957331223316,2658.8109402878454,6407455.030972743,5190605.14381397,202.3493085037917
