name,target_mode,waypoint,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_soc6_target,delta_vs_v002
midnight_hist_morning_c0.5_n48_soft,forecast,midnight,hist_morning,0.5,0.0,48,soft,13543739.188064247,13207608.47582618,273502.1175668544,62628.594671212275,21530457.8141995,21070567.452987395,515009.27387678163,974899.6350888842,11497.279998185888,1934243.755996062,7377.469526437581,1200.0,10800.0,6432.574208609234,6419.502982883716,6381898.381452354,5173266.899429497,5793.963230358727,22329.480612011626
midnight_hybrid_morning_c0.3_n48_ge,forecast,midnight,hybrid_morning,0.3,0.0,48,ge,13550673.83631276,13129883.790375538,358652.4638159069,62137.582121314874,21381997.965432324,21048962.34639844,632622.1464379043,965657.76547179,11452.287346089517,1909451.3845148617,7265.035012546741,1200.0,10800.0,5095.605301221116,5087.89377107966,6389957.05380801,5178183.29954501,4018.7474721897865,29264.128860523924
midnight_hybrid_morning_c0.3_n48_soft,forecast,midnight,hybrid_morning,0.3,0.0,48,soft,13550673.83631276,13129883.790375538,358652.4638159069,62137.582121314874,21381997.965432324,21048962.34639844,632622.1464379043,965657.76547179,11452.287346089517,1909451.3845148617,7265.034630975625,1200.0,10800.0,5095.605301221116,5087.89377107966,6389957.05380801,5178183.29954501,4018.7474721897865,29264.128860523924
midnight_hist_morning_c0.5_n48_ge,forecast,midnight,hist_morning,0.5,0.0,48,ge,13550997.0894415,13207318.596620709,281049.8981495786,62628.594671212275,21529677.099937525,21073772.103533626,518980.7595526901,974885.7559565877,11497.279998185888,1938232.8534112507,7379.912950688362,1200.0,10800.0,6434.677929674433,6421.606703948914,6377769.713720998,5169922.678567098,5793.963230358727,29587.38198926486
midnight_hist_morning_c0.8_n48_soft,forecast,midnight,hist_morning,0.8,0.0,48,soft,13569064.52612828,13251316.59370713,257875.71549832454,59872.21692282748,21566605.29452566,21097048.84988772,507014.85798380186,976571.3026217425,11077.370408110706,1965932.276417681,7536.096843670029,1200.0,10800.0,8163.711643379243,8142.687696498466,6364864.459704471,5161860.010792984,7639.322781470392,47654.818676045164
midnight_hybrid_morning_c0.5_n48_soft,forecast,midnight,hybrid_morning,0.5,0.0,48,soft,13581658.619274253,13133599.425108736,386419.1034856618,61640.0906798555,21355457.182769086,21072346.689516924,682945.0475818176,966055.5408339798,11348.411194209224,1937411.0550750801,7415.889427058002,1200.0,10800.0,6900.700739556024,6887.700482776977,6373696.9887219425,5166602.438052556,5790.488152363329,60248.91182201728
midnight_hist_morning_c0.8_n48_ge,forecast,midnight,hist_morning,0.8,0.0,48,ge,13591335.636647023,13250402.206163969,281345.3460903035,59588.08439275157,21564142.62944847,21106937.141438007,519366.6449096829,976572.1329201483,11022.17280993729,1977963.0406400335,7543.076691421749,1200.0,10800.0,8170.347567239944,8149.323620359167,6353297.77407161,5152490.995430365,7639.322781470392,69925.92919478752
midnight_hybrid_morning_c0.5_n48_ge,forecast,midnight,hybrid_morning,0.5,0.0,48,ge,13594319.042188704,13131962.746578783,401895.47047960875,60460.82513031502,21351049.214737967,21076025.501970246,691075.4445281328,966099.1572958555,11169.253561742096,1942573.6908006028,7422.802648674191,1200.0,10800.0,6912.578497723705,6899.5782409446565,6364944.457644744,5159512.887880025,5790.488152363329,72909.33473646827
six_fixed3000_n12_soft,fixed,six,,0.0,3000.0,12,soft,13600057.08362231,13024786.928702839,516521.42465381604,58748.73026565526,21120997.227508772,21040133.11987154,863264.0121314119,944128.1197686429,10464.688653794563,1900719.8078761077,7113.023047668246,1200.0,10800.0,3719.88856858473,3717.8814527802315,6375220.235228395,5164531.729545832,3000.0,78647.37617007457
six_fixed3000_n12_ge,fixed,six,,0.0,3000.0,12,ge,13600057.08362231,13024786.928702839,516521.42465381604,58748.73026565526,21120997.227508772,21040133.11987154,863264.0121314119,944128.1197686429,10464.688653794563,1900719.8078761077,7113.0234292393625,1200.0,10800.0,3719.88856858473,3717.8814527802315,6375220.235228395,5164531.729545832,3000.0,78647.37617007457
